,cons_12m,cons_gas_12m,forecast_cons_12m,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_pow_off_peak,imp_cons,margin_gross_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,date_end_offpeak,date_end_peak,date_renewal_offpeak,date_renewal_peak,id,channel_sales_ewpakwlliwisiwduibdlfmalxowmwpci,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,channel_sales_lmkebamcaaclubfxadlmueccxoimlema,channel_sales_usilxuppasemubllopkaafesmlibmsdf,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw,overall_consumption_outliers,overall_consumption_outliers_scores
459,0.0,0.0,1453.16,0.0,0.160012,44.31137796,1.7698202577635922,1.3873898263387294,1,2.0570952896126675,4,1.0565999762927811,1,1,0,1,0,22dc23342f14ea066c71cc3778c0a10c,0,1,0,0,0,1,0,-1,-0.035783664277170946
558,1.041392685158225,0.0,0.9,1.5800121125294244,0.16695,44.31137796,0.10380372095595687,1.2533380053261065,1,0.04921802267018165,6,1.0565999762927811,1,0,0,0,1,1e9a67f011923f5a324ac68e1a6577cb,0,1,0,0,1,0,0,-1,-0.0038904476590118087
599,0.0,0.0,0.0,0.0,0.144902,44.31137796,0.0,1.3053513694466237,1,0.0,5,1.0565999762927811,1,0,0,0,0,76cfa6e8c510f5e2ee67e7e8b244d32d,0,1,0,0,0,1,0,-1,-0.035783664277170946
670,6.693681934693166,6.269525319099426,3838.66,2.159687479754789,0.113206,40.728885,2.5954851989831034,0.0,2,2.5109469486729727,4,1.2041471252128475,0,0,1,0,1,00afaab98ba4e403d34705cb839ad325,0,0,0,0,0,0,1,-1,-0.0001495049443176466
712,0.0,0.0,0.0,2.1581513253927027,0.115174,40.606701,0.0,1.5915098089946542,1,0.0,4,1.3424226808222062,0,0,0,0,0,d8e7f0c46a971efd95f3ca4297a7c893,0,1,0,0,0,0,1,-1,-0.035783664277170946
721,0.0,0.0,0.0,2.6100743221400546,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.9822712330395684,0,1,0,1,0,a6828d720b61ec581ed73aa764dfbd4b,0,0,0,0,0,1,0,-1,-0.035783664277170946
759,0.0,0.0,0.0,2.557085936526085,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.9822712330395684,0,1,0,1,0,f90f743faba06bc23973b3d4c8da7ddd,0,0,0,0,0,1,0,-1,-0.035783664277170946
780,1.8388490907372552,2.4899584794248346,10.21,1.2407987711173312,0.1457109999999999,44.31137796,0.0,1.2513948500401042,2,0.3159703454569178,6,1.0549958615291415,0,0,1,0,1,46431caab4e109c1d016ce9daf7ecca1,1,0,0,0,1,0,0,-1,-0.006807691275658501
793,0.0,0.0,0.0,2.1136091510730277,0.161936,41.1052014,0.0,1.8923172607224805,2,0.20139712432045143,4,1.414973347970818,0,0,0,1,0,c6a696b9fec4dfe700757b241e564a17,0,1,0,0,0,0,1,-1,-0.035783664277170946
902,0.0,3.0674428427763805,0.0,2.170232370181804,0.1169,40.606701,0.0,1.6923180442592787,4,1.3484995702838378,4,1.307496037913213,0,1,0,1,0,9b36a3747da7615ac4bc899c7b6ea71c,0,1,0,0,0,0,1,-1,-0.03912328415626076
1004,0.0,0.0,0.0,0.0,0.1168829999999999,40.606701,0.0,2.141136090120739,1,0.0,4,1.7481880270062005,1,1,0,1,0,946b1ca5f573dd65063478624d2e95e3,0,1,0,0,0,0,1,-1,-0.035783664277170946
1058,0.6020599913279624,0.0,0.45,1.2350231594952235,0.142881,46.30537836,0.0,1.4429498695778618,1,0.06445798922691845,6,1.1522883443830565,0,0,0,0,0,4726b4f9d23a6ec7fcd58488d116be7d,0,0,0,0,0,1,0,-1,-0.02433480674539079
1160,0.0,0.0,0.0,2.5634573528070717,0.092453,59.17346796,0.0,0.17026171539495738,1,0.0,8,2.416640507338281,0,1,0,1,0,2dc786411276f11f4a68c97fc66a3737,0,0,0,0,0,1,0,-1,-0.035783664277170946
1178,0.0,0.0,1158.73,0.0,0.2292719999999999,45.80687796,1.171726453653231,1.4991369945373827,2,1.8478809974453752,6,1.0565999762927811,0,0,0,1,0,3b3510bf7dacaba392ae4f6391cfdde7,0,0,0,0,0,0,1,-1,-0.035783664277170946
1184,0.0,0.0,0.0,0.0,0.1168829999999999,40.606701,0.0,2.0417084208914362,1,0.0,4,1.6498020095086041,1,1,0,1,0,2817f9b3425652c0c3efc16007cfd6a3,0,1,0,0,0,0,1,-1,-0.035783664277170946
1444,0.9030899869919435,0.0,0.0,2.122019172080031,0.1169,40.606701,0.0,1.803252211430457,1,0.0,6,1.4563660331290431,0,1,0,1,0,fb47b32884cef49719202cbdf0cc5e40,0,0,0,0,1,0,0,-1,-0.004376604500057502
1567,0.0,0.0,0.0,2.5595475555804343,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.7853298350107671,0,1,0,1,0,7c1dca6a6b97a658f02246a8ed3c99e7,0,0,0,0,0,1,0,-1,-0.035783664277170946
1601,0.0,0.0,0.0,2.167405957232292,0.092453,59.17346796,0.0,0.0,1,0.0,7,1.4913616938342726,0,1,0,1,0,28a52056661f972e01c5b6bc6acd9512,0,0,0,0,0,1,0,-1,-0.035783664277170946
1607,1.0791812460476249,0.0,1.63,0.9253120914996495,0.144902,44.31137796,0.30749603791321295,1.1405080430381795,1,0.029383777685209667,5,1.1522883443830565,0,0,1,0,1,84ee556e092dfeafc9009447822d2b81,0,1,0,0,0,0,1,-1,-0.0032621597086675003
1613,0.0,0.0,0.0,2.1583021692280226,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.662757831681574,0,1,0,1,0,545eb4263a70698b45753b1bae134232,0,0,0,0,0,1,0,-1,-0.035783664277170946
1660,0.0,4.396356292642913,0.0,2.1561552608896872,0.092453,59.17346796,0.0,0.04921802267018165,2,0.0,8,1.7853298350107671,0,1,0,1,0,1a8283947ed53a9b70d4b883b691267b,0,0,0,0,0,1,0,-1,-0.019340770501721005
1669,0.0,0.0,0.0,2.1156770651158374,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.7481880270062005,0,1,0,1,0,141bd3a0a6bd94739f7124eb3167bd4d,0,0,0,0,0,1,0,-1,-0.035783664277170946
1765,0.0,0.0,0.0,1.284881714655453,0.1457109999999999,44.31137796,0.0,1.3113299523037931,1,0.0,4,1.171901890731724,0,0,1,0,1,67f2cb4b45d145ce4269ec5e66bda67e,0,1,0,0,0,0,1,-1,-0.035783664277170946
1770,1.041392685158225,0.0,1.46,1.2819419334408249,0.147506,46.30537836,0.0,1.3332456989619628,2,0.1367205671564068,4,1.0565999762927811,0,0,0,0,0,2e4d4c85ec54d0193cd85962af1d984c,0,0,0,1,1,0,0,-1,-0.0038904476590118087
2048,0.0,0.0,0.0,1.316808752053022,0.146688,44.31137796,0.0,1.5861370252307931,1,0.0,5,1.2041199826559248,0,1,0,1,0,08f6df4795cbef8b74b17a712a6135a3,0,1,0,0,0,0,1,-1,-0.035783664277170946
2125,1.0791812460476249,0.0,1.1,2.083000669576533,0.115174,40.606701,0.0,1.2909245593827543,1,0.7520484478194386,6,1.2430380486862944,0,0,1,0,1,cfe28745b31e3292c776ba8570dcbe5e,0,0,0,0,0,1,0,-1,-0.0032621597086675003
2298,0.0,0.0,0.0,2.5582404319935037,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.8512583487190752,0,1,0,1,0,8cb47fa6555b3ec833698110172d37cf,0,0,0,0,0,1,0,-1,-0.035783664277170946
2320,0.47712125471966244,0.0,0.3,1.2736955879300922,0.1457109999999999,44.31137796,0.0,1.044539760392411,1,0.012837224705172217,3,1.0565999762927811,0,0,1,0,0,84b328509a3755cc64a906accd478d09,1,0,0,0,0,1,0,-1,-0.029363547563042824
2752,0.0,0.0,0.0,0.8744818176994664,0.144902,44.31137796,0.0,1.3113299523037931,3,0.0,4,1.1139433523068367,0,0,1,0,1,21721e602aa2308678475cb8b3d390e7,0,1,0,0,0,0,1,-1,-0.035783664277170946
2852,0.0,5.249271753073101,0.0,2.2046354013838476,0.115939,41.27136420000001,0.0,1.4768316285122607,2,0.0,4,1.2041471252128475,0,0,0,0,0,0abbe4890c3418d1e6db5da7cfbe45ae,0,0,0,1,1,0,0,-1,-0.02179325579493485
2905,0.0,0.0,0.0,2.561876217899017,0.092453,59.17346796,0.0,0.09342168516223506,1,0.0,8,2.110589710299249,0,1,0,1,0,ad958417cd4d465b1191fd69497f1cad,0,0,0,0,0,1,0,-1,-0.035783664277170946
2949,0.0,0.0,0.0,1.2935835134961169,0.145877,44.31137796,0.0,1.5524248457040855,1,0.0,7,1.171901890731724,0,1,0,1,0,e9a3de23bbbc80dce46e97be0251ed5e,0,1,0,0,0,1,0,-1,-0.035783664277170946
3050,0.0,0.0,0.0,2.4336898459916987,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.7708520116421442,0,1,0,1,0,76c2dbd83325b3a74e9ecd6633c95b8f,0,0,0,0,0,1,0,-1,-0.035783664277170946
3185,0.0,0.0,0.0,1.3975924340381167,0.1165089999999999,41.27136420000001,0.0,1.6894864483642478,1,0.0,4,1.3979400086720377,0,0,0,0,0,e4a244b5ec6afde36cf10cc9b5cdfc6c,1,0,0,0,1,0,0,-1,-0.035783664277170946
3219,0.0,0.0,0.0,1.256958152560932,0.1458839999999999,44.31137796,0.0,1.4250448745513888,1,0.0,6,1.0565999762927811,0,1,0,1,0,b11c7703729714a8f19540715907adf2,0,0,0,0,1,0,0,-1,-0.035783664277170946
3256,6.693681934693166,6.269525319099426,2352.71,2.166814798790912,0.113206,40.728885,0.0,0.0,2,2.326376830173808,4,1.2421437227010828,0,0,0,0,0,8c19ccde7a31fe8a334ef004ce36e006,0,0,0,0,0,0,1,-1,-0.0001495049443176466
3331,0.0,0.0,870.18,0.0,0.165793,44.31137796,1.984257201705416,1.1942367487238292,1,1.9100371235530509,7,1.0565999762927811,0,0,1,0,1,96dc223782976f1e4e0157b2de87c356,0,0,0,0,0,1,0,-1,-0.035783664277170946
3789,0.3010299956639812,0.0,0.15,1.2986347831244356,0.1457109999999999,44.31137796,0.06069784035361165,1.1258064581395268,1,0.0,4,1.0565237240791003,0,0,1,0,1,c92ed2a3c087907a1ce21424db7c6383,0,0,0,1,0,0,1,-1,-0.02942293689005082
3870,0.0,0.0,2344.11,0.0,0.165793,44.31137796,3.186625829669417,1.1958996524092338,1,2.3261309567107946,4,1.1720188094245565,0,0,1,0,1,24dfc7b26136d8c940fa15e0c05bde55,0,0,0,1,0,0,1,-1,-0.035783664277170946
3949,0.0,0.0,0.0,2.1263262600949413,0.092453,59.17346796,0.0,0.0,1,0.0,8,1.2041199826559248,0,1,0,1,0,2d9d626a9dae3e187fa3c58bcbe9db60,0,0,0,0,0,1,0,-1,-0.035783664277170946
3977,0.9030899869919435,0.0,0.77,2.1100170067921122,0.120372,40.606701,0.0,2.0417084208914362,1,0.08990511143939793,3,1.6498020095086041,0,1,0,1,0,3e750adc92fa53326a242c01e0510d4b,0,1,0,0,0,0,1,-1,-0.004376604500057502
4148,0.0,0.0,0.0,1.1589652603834102,0.140103,44.31137796,0.0,1.5861370252307931,1,0.0,6,1.2041199826559248,0,1,0,1,0,d23363f9e7ee8b3b2b6c364d80832297,0,1,0,0,0,0,1,-1,-0.035783664277170946
4219,0.0,0.0,0.0,2.1350371915496176,0.092453,59.17346796,0.0,0.0,1,0.0,8,0.8991636414772188,0,1,0,1,0,3983fdf99cc2ef3f246660d39f9477ba,0,0,0,0,0,1,0,-1,-0.035783664277170946
4224,0.6020599913279624,0.0,0.33,2.115943176939055,0.1169,40.606701,0.04139268515822507,1.900913067737669,1,0.004321373782642578,5,1.5519498807854102,0,1,0,1,0,bcf00c494bf6e921f508b8f401531ba8,0,1,0,0,0,0,1,-1,-0.02433480674539079
4287,0.0,0.0,918.57,0.0,0.165787,44.31137796,1.8805849560649799,1.4320066872695985,1,1.9733126204529017,6,1.0565999762927811,0,1,0,1,0,846d566c68ece296d06b15f80cbe5189,0,0,0,0,1,0,0,-1,-0.035783664277170946
4310,0.0,3.742175043223677,0.0,1.2579184503140584,0.144902,44.31137796,0.0,0.9840770339028312,2,0.0,6,1.0969100130080565,0,0,0,0,0,25e6dedb8d82fe1e59c80a9edf835725,0,0,0,0,1,0,0,-1,-0.020626206972244376
4394,0.0,0.0,866.77,0.0,0.165793,44.31137796,1.8731461513282557,1.044539760392411,1,1.9249508889156106,6,1.0565999762927811,0,0,1,0,1,a6bb8c6ed6b46960b4258466d44e3c65,0,1,0,0,1,0,0,-1,-0.035783664277170946
4518,0.0,0.0,0.0,2.166518917540945,0.1169099999999999,40.606701,0.0,1.6826864782497681,1,0.0,4,1.3820170425748683,0,0,0,0,0,b10d209e82a7f76401753099e084b94d,0,0,0,1,0,0,1,-1,-0.035783664277170946
4689,0.0,0.0,0.0,1.2926990030439298,0.144902,44.31137796,0.0,1.3113299523037931,1,0.0,6,1.171901890731724,0,0,1,0,1,5fa10ed0e6bd21eb85df5aa49a66c467,0,1,0,0,0,0,1,-1,-0.035783664277170946
4861,0.6020599913279624,2.429752280002408,0.32,2.1204752166965255,0.114603,40.606701,0.04139268515822507,1.4520932490177314,2,1.3679147387937527,6,1.2612628687924936,1,0,0,0,1,f4c630d654f1a6d2c76c108527a0afe7,0,0,0,0,0,1,0,-1,-0.042824094604875684
4927,0.0,0.0,837.56,0.0,0.164775,45.31137756,1.7632033003707717,1.4300750555519393,1,1.9749259860897626,6,1.0549958615291415,0,1,0,1,0,71ddde8e6b05d41ca09974367f43b57a,1,0,0,0,0,1,0,-1,-0.035783664277170946
5035,0.0,0.0,0.0,0.8721562727482928,0.14346,46.30537836,0.0,1.372175286115064,1,0.0,3,1.073351702386901,0,0,0,0,0,7f798551a2d9b6d6e8295fec36af1301,0,1,0,0,0,0,1,-1,-0.035783664277170946
5043,0.0,0.0,0.0,1.1726029312098598,0.146694,44.31137796,0.0,1.4867137759824856,1,0.0,4,1.146128035678238,0,1,0,1,0,26564417b2ddabe44a5c5059185ca53b,0,1,0,0,0,0,1,-1,-0.035783664277170946
5122,0.0,3.13640344813399,0.0,2.1219535835452987,0.092453,59.17346796,0.0,0.0,2,0.0,7,1.0374264979406236,0,1,0,1,0,c1c61cc49b8b6c8a2712d8a8bdcb3dcb,0,0,0,0,0,1,0,-1,-0.03607050205400464
5300,0.0,3.8980117387975017,857.23,0.0,0.16695,44.31137796,1.5952757118020995,1.2533380053261065,2,1.6750447359558926,3,1.0565999762927811,0,0,0,0,1,6845c85162fa030b8a754ba3b0cc3b9a,1,0,0,0,0,0,1,-1,-0.0170647954395029
5515,0.6989700043360189,5.622209876937132,0.42,2.161368002234975,0.1169,40.606701,0.0,1.7068883949816178,1,0.021189299069938092,5,1.3222192947339193,0,1,0,1,0,2d3cef56c2a99642c62c3f136fd71dc9,0,1,0,0,0,0,1,-1,-0.024453727760105126
5532,0.0,0.0,0.0,2.1559430179718366,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.6127838567197355,0,1,0,1,0,d09137acfe2ba08fa9b7a561f21f31a0,0,0,0,0,0,1,0,-1,-0.035783664277170946
5587,0.0,0.0,0.0,0.9175055095525466,0.146694,44.31137796,0.0,1.4300750555519393,1,0.0,5,1.0549958615291415,0,1,0,1,0,51615c663d500f636d636b818e0551b7,0,1,0,0,0,0,1,-1,-0.035783664277170946
5661,0.0,0.0,0.0,2.519355392273652,0.115174,40.606701,0.0,1.7158362751649938,1,0.0,3,1.414973347970818,0,0,0,0,0,5671932fbcd8d3d9c50292feb0e616ed,0,0,1,0,0,1,0,-1,-0.035783664277170946
5670,0.0,0.0,0.0,1.2370407913791908,0.144902,44.31137796,0.0,1.4320066872695985,1,0.0,5,1.0565999762927811,1,0,1,0,1,1cf76425d13b105ef89ac9698de8f0e0,0,0,1,0,0,1,0,-1,-0.035783664277170946
5819,0.0,0.0,0.0,2.2522703459883213,0.115174,40.606701,0.0,1.4449811120879446,1,1.06781451116184,4,1.4913616938342726,0,0,1,0,1,fec9fdb6995a411aa9d38755c036c12d,0,0,0,1,0,0,1,-1,-0.035783664277170946
5997,6.693681934693166,6.269525319099426,2191.68,1.6073477767684134,0.138765,44.44470996,0.0,0.04921802267018165,2,2.001949941084268,5,1.1522883443830565,0,0,0,0,1,a5c7829624c3e40d18ce41167d18af7f,0,1,0,0,0,0,1,-1,-0.0001495049443176466
6079,0.0,0.0,0.0,0.0,0.1165089999999999,41.27136420000001,0.0,2.0170333392987803,1,0.0,3,1.7481880270062005,0,0,0,0,0,1c287f3d79197086b8205b5b504d23a3,0,1,0,0,0,0,1,-1,-0.035783664277170946
6206,0.0,0.0,870.61,0.0,0.1668619999999999,44.30687796,1.889077492650064,1.2940250940953226,2,2.005008820672367,6,1.0969100130080565,0,0,0,0,1,081dcb4adfa41d51943d042fb9ad3596,0,1,0,0,1,0,0,-1,-0.035783664277170946
6281,0.0,0.0,3534.24,0.0,0.165018,44.31137796,2.4516482987050052,0.6848453616444125,1,2.2618573856298982,6,1.1900514177592059,0,1,0,1,0,793c9b4f08c1a441bd1f70fd9796bdde,0,0,0,0,1,0,0,-1,-0.035783664277170946
6439,0.0,0.0,0.0,2.594105135786845,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.8195439355418688,0,1,0,1,0,eaf17f504baba3d55623881c14728125,0,0,0,0,0,1,0,-1,-0.035783664277170946
6448,0.0,0.0,0.0,1.341038631677523,0.146348,46.30537836,0.0,1.4429498695778618,1,0.3424226808222063,6,1.1522883443830565,0,0,0,0,0,3597a233c982cdde15b280343ff1aac0,0,1,0,0,1,0,0,-1,-0.035783664277170946
6475,0.0,0.0,0.0,2.153601474288411,0.1165089999999999,41.27136420000001,0.0,1.9759829437125465,1,0.0,5,1.7075701760979363,0,1,0,1,0,f84bf253b1ac891627891fb9599275e8,0,0,0,0,0,0,0,-1,-0.035783664277170946
6500,0.0,0.0,0.0,1.440121603187804,0.165794,44.31137796,0.0,1.375846436309156,4,0.0,6,1.0791812460476249,0,0,0,0,0,f7f57f39ddbdd967d3001788c1413826,0,0,0,1,0,0,1,-1,-0.035783664277170946
6735,0.0,0.0,0.0,2.1217895688592967,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.7853298350107671,0,1,0,1,0,c2f8525aacb2947618a099fe383258b2,0,0,0,0,0,1,0,-1,-0.035783664277170946
6746,0.0,0.0,0.0,2.575337973983036,0.092453,59.17346796,0.0,0.13353890837021748,1,0.0,8,2.303196057420489,0,1,0,1,0,2456593c8f417162e2967f92e70b0eea,0,0,0,0,0,1,0,-1,-0.035783664277170946
6795,0.0,3.705949194910296,0.0,2.5754995934093206,0.092453,59.17346796,0.0,0.04921802267018165,3,0.0,7,1.9084850188786497,0,1,0,1,0,56e4fc54588a57def60c5fceac3aad4f,0,0,0,0,0,1,0,-1,-0.020626206972244376
6806,0.0,0.0,0.0,2.125773949850885,0.092453,59.17346796,0.0,0.0,1,0.0,8,1.0374264979406236,0,1,0,1,0,aece5d11a55b581bb3e65d83fda3f6c5,0,0,0,0,0,1,0,-1,-0.035783664277170946
6916,0.0,0.0,1581.12,0.0,0.165018,44.31137796,2.0610753236297916,0.5774917998372253,1,2.0835384512301394,6,1.0549958615291415,0,0,0,0,0,ac527ba7106e9d5d08511f46848e8ebb,0,0,0,0,1,0,0,-1,-0.035783664277170946
6959,0.0,0.0,0.0,2.560611930092995,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.9084850188786497,0,1,0,1,0,6e4abae5589dabbbf0f875fa5d40f879,0,0,0,0,0,1,0,-1,-0.035783664277170946
7158,0.0,0.0,0.0,2.556603989486027,0.115174,40.606701,0.0,1.9152942830226865,1,0.0,11,1.7853298350107671,0,0,1,0,1,75955af8d0387553b870e89d502f91ba,0,1,0,0,0,0,1,-1,-0.035783664277170946
7198,0.0,0.0,0.0,1.2345172835126867,0.164197,46.30537836,0.0,1.344195715871435,1,0.04532297878665747,6,1.0565999762927811,0,0,0,0,0,b1ac08ca7271614d5d9edb707366871d,0,0,0,0,1,0,0,-1,-0.035783664277170946
7503,0.7781512503836436,0.0,0.76,0.0,0.146688,44.31137796,0.0,1.4320066872695985,1,0.04139268515822507,3,1.0565999762927811,0,1,0,1,0,f4a18c7d27b43439c1e404ab1dacc7a7,0,0,1,0,1,0,0,-1,-0.013887668302517864
7755,0.0,4.15742654478045,0.0,2.134527717797338,0.092453,59.17346796,0.0,0.0,3,0.0,6,1.3979400086720377,0,1,0,1,0,05c0615120d6f0cfd0b1d7064c9dfe2a,0,0,0,0,0,1,0,-1,-0.016688395259282007
8195,0.0,0.0,0.0,2.5911759503117913,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.7853298350107671,0,1,0,1,0,25601df637634d6f1717e0d7d092b6c7,0,0,0,0,0,1,0,-1,-0.035783664277170946
8211,0.0,0.0,0.0,2.1268778688352667,0.1165089999999999,41.27136420000001,0.0,1.7237839369653294,1,0.0,5,1.458033192496506,0,0,0,0,0,bd307c055f9a7e62f23f9c0fb55ffb47,0,0,0,0,0,1,0,-1,-0.035783664277170946
8217,0.0,0.0,0.0,2.153601474288411,0.092453,59.17346796,0.0,0.0,1,0.0,7,1.414973347970818,0,1,0,1,0,73c74d324ef28f924df0aefce01709cb,0,0,0,0,0,1,0,-1,-0.035783664277170946
8286,0.0,0.0,1690.1,0.0,0.16059,44.31137796,2.083323418473525,1.1122697684172707,1,1.885643871835764,6,1.171901890731724,0,0,1,0,0,9d23b45002bde7e484458c3ac317e3e9,0,0,0,0,1,0,0,-1,-0.035783664277170946
8531,0.0,0.0,2606.53,0.0,0.21068,45.80687796,2.2293234078961834,1.408748606184244,2,1.9408649759667216,6,1.171901890731724,0,0,0,0,0,8f0bcdd2a237111b467a4dbde9dd95ca,0,1,0,0,1,0,0,-1,-0.035783664277170946
8532,0.0,3.6396856612426816,0.0,2.1535709814337802,0.092453,59.17346796,0.0,0.04921802267018165,2,0.0,8,1.8388490907372552,0,1,0,1,0,1782db7d7163606019166c250579b1c4,0,0,0,0,0,1,0,-1,-0.020129059590984433
8566,0.0,3.182414652434554,0.0,2.117138666403885,0.112289,40.606701,0.0,1.4619484952037618,2,0.0,5,1.5075455505094204,0,0,1,0,1,028e294f3df60fec6611ca1b9872fba0,0,0,0,0,0,0,1,-1,-0.03516083043030105
8686,0.0,5.28658893855154,0.0,2.115943176939055,0.115174,40.606701,0.0,1.2771506139637967,2,0.0,6,1.3222192947339193,0,0,1,0,1,12902175e37fa9c3719f8eee652aac7e,0,1,0,0,0,0,1,-1,-0.02129531907147164
8826,0.0,0.0,0.0,0.31806333496276157,0.141434,44.31137796,0.0,1.055378331375,1,0.0,6,1.171901890731724,0,0,0,0,0,672b06d6c4a2ccdc01c11dd8c87916ae,0,1,0,0,1,0,0,-1,-0.035783664277170946
8931,0.0,0.0,0.0,1.4080702858871854,0.168242,46.30537836,0.0,1.396548037987132,1,0.0,4,1.0969100130080565,1,0,0,0,0,4c9814d1069ebfb8d34cbb807ade2892,0,1,0,0,1,0,0,-1,-0.035783664277170946
8942,0.0,0.0,0.0,2.1230345297535065,0.092453,59.17346796,0.0,0.0,3,0.0,8,1.3820170425748683,0,1,0,1,0,6d4e7ba1f71991060d38e034daebdac6,0,0,0,0,0,1,0,-1,-0.035783664277170946
9299,0.0,0.0,1177.07,0.0,0.1640569999999999,44.31137796,0.0,1.1258064581395268,1,1.9498289589353137,6,1.0565999762927811,0,0,1,0,1,8eb49ad86a6e2166bee9445873836144,0,1,0,0,1,0,0,-1,-0.035783664277170946
9375,0.0,0.0,0.0,2.1410419409390493,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.5563025007672873,0,1,0,1,0,cd054e153c54aa6b480e15277f107db7,0,0,0,0,0,1,0,-1,-0.035783664277170946
9456,0.0,0.0,0.0,1.2105860249051565,0.16695,44.31137796,0.0,1.3714373174041008,1,0.004321373782642578,6,1.171901890731724,0,0,0,0,0,50ff326982d4c9b19c8b6a34f888d385,0,0,1,0,0,0,1,-1,-0.035783664277170946
9458,0.0,0.0,0.0,2.1656004025174114,0.115174,40.606701,0.0,1.659821158055705,1,0.0,13,1.5314789170422551,0,0,1,0,1,7f5d8eb4e7a3a743587de5f16fbb0d49,0,0,0,0,0,1,0,-1,-0.035783664277170946
